cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_hurto
05,ANTIOQUIA,05001,MEDELLIN,2018,12,1782
05,ANTIOQUIA,05001,MEDELLIN,2019,1,1713
05,ANTIOQUIA,05001,MEDELLIN,2019,2,1834
05,ANTIOQUIA,05001,MEDELLIN,2019,3,2142
05,ANTIOQUIA,05001,MEDELLIN,2019,4,1998
05,ANTIOQUIA,05001,MEDELLIN,2019,5,2273
05,ANTIOQUIA,05001,MEDELLIN,2019,6,2134
05,ANTIOQUIA,05001,MEDELLIN,2019,7,2299
05,ANTIOQUIA,05001,MEDELLIN,2019,8,2702
05,ANTIOQUIA,05001,MEDELLIN,2019,9,2239
05,ANTIOQUIA,05001,MEDELLIN,2019,10,2353
05,ANTIOQUIA,05001,MEDELLIN,2019,11,2727
05,ANTIOQUIA,05001,MEDELLIN,2019,12,2849
05,ANTIOQUIA,05001,MEDELLIN,2020,1,2520
05,ANTIOQUIA,05001,MEDELLIN,2020,2,1946
05,ANTIOQUIA,05001,MEDELLIN,2020,3,1281
05,ANTIOQUIA,05001,MEDELLIN,2020,4,501
05,ANTIOQUIA,05001,MEDELLIN,2020,5,924
05,ANTIOQUIA,05001,MEDELLIN,2020,6,1170
05,ANTIOQUIA,05001,MEDELLIN,2020,7,1323
05,ANTIOQUIA,05001,MEDELLIN,2020,8,1370
05,ANTIOQUIA,05001,MEDELLIN,2020,9,1580
05,ANTIOQUIA,05001,MEDELLIN,2020,10,1619
05,ANTIOQUIA,05001,MEDELLIN,2020,11,1656
05,ANTIOQUIA,05001,MEDELLIN,2020,12,1886
05,ANTIOQUIA,05001,MEDELLIN,2021,1,1452
05,ANTIOQUIA,05001,MEDELLIN,2021,2,1542
05,ANTIOQUIA,05001,MEDELLIN,2021,3,1897
05,ANTIOQUIA,05001,MEDELLIN,2021,4,1403
05,ANTIOQUIA,05001,MEDELLIN,2021,5,1752
05,ANTIOQUIA,05001,MEDELLIN,2021,6,1940
05,ANTIOQUIA,05001,MEDELLIN,2021,7,2058
05,ANTIOQUIA,05001,MEDELLIN,2021,8,2320
05,ANTIOQUIA,05001,MEDELLIN,2021,9,2073
05,ANTIOQUIA,05001,MEDELLIN,2021,10,2499
05,ANTIOQUIA,05001,MEDELLIN,2021,11,2386
05,ANTIOQUIA,05001,MEDELLIN,2021,12,2381
05,ANTIOQUIA,05001,MEDELLIN,2022,1,2079
05,ANTIOQUIA,05001,MEDELLIN,2022,2,2345
05,ANTIOQUIA,05001,MEDELLIN,2022,3,2682
05,ANTIOQUIA,05001,MEDELLIN,2022,4,2536
05,ANTIOQUIA,05001,MEDELLIN,2022,5,2172
05,ANTIOQUIA,05001,MEDELLIN,2022,6,1825
05,ANTIOQUIA,05001,MEDELLIN,2022,7,1876
05,ANTIOQUIA,05001,MEDELLIN,2022,8,2546
05,ANTIOQUIA,05001,MEDELLIN,2022,9,2573
05,ANTIOQUIA,05001,MEDELLIN,2022,10,2753
05,ANTIOQUIA,05001,MEDELLIN,2022,11,2734
05,ANTIOQUIA,05001,MEDELLIN,2022,12,2612
05,ANTIOQUIA,05001,MEDELLIN,2023,1,2461
05,ANTIOQUIA,05001,MEDELLIN,2023,2,2524
05,ANTIOQUIA,05001,MEDELLIN,2023,3,2684
05,ANTIOQUIA,05001,MEDELLIN,2023,4,2805
05,ANTIOQUIA,05001,MEDELLIN,2023,5,3103
05,ANTIOQUIA,05001,MEDELLIN,2023,6,2867
05,ANTIOQUIA,05001,MEDELLIN,2023,7,2539
05,ANTIOQUIA,05001,MEDELLIN,2023,8,2650
05,ANTIOQUIA,05001,MEDELLIN,2023,9,2687
05,ANTIOQUIA,05001,MEDELLIN,2023,10,2526
05,ANTIOQUIA,05001,MEDELLIN,2023,11,2717
05,ANTIOQUIA,05001,MEDELLIN,2023,12,2876
05,ANTIOQUIA,05001,MEDELLIN,2024,1,2360
05,ANTIOQUIA,05001,MEDELLIN,2024,2,2274
05,ANTIOQUIA,05001,MEDELLIN,2024,3,2070
05,ANTIOQUIA,05001,MEDELLIN,2024,4,2364
05,ANTIOQUIA,05001,MEDELLIN,2024,5,2475
05,ANTIOQUIA,05001,MEDELLIN,2024,6,2164
05,ANTIOQUIA,05001,MEDELLIN,2024,7,2189
05,ANTIOQUIA,05001,MEDELLIN,2024,8,2322
05,ANTIOQUIA,05001,MEDELLIN,2024,9,2103
05,ANTIOQUIA,05001,MEDELLIN,2024,10,1895
05,ANTIOQUIA,05001,MEDELLIN,2024,11,1642
05,ANTIOQUIA,05001,MEDELLIN,2024,12,1314
05,ANTIOQUIA,05001,MEDELLIN,2025,1,1589
05,ANTIOQUIA,05001,MEDELLIN,2025,2,1803
05,ANTIOQUIA,05001,MEDELLIN,2025,3,2051
05,ANTIOQUIA,05001,MEDELLIN,2025,4,1899
05,ANTIOQUIA,05001,MEDELLIN,2025,5,2004
05,ANTIOQUIA,05001,MEDELLIN,2025,6,1812
05,ANTIOQUIA,05001,MEDELLIN,2025,7,1684
05,ANTIOQUIA,05001,MEDELLIN,2025,8,2275
05,ANTIOQUIA,05001,MEDELLIN,2025,9,2144
05,ANTIOQUIA,05001,MEDELLIN,2025,10,2748
05,ANTIOQUIA,05001,MEDELLIN,2025,11,2410
05,ANTIOQUIA,05002,ABEJORRAL,2003,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2003,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2003,5,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,6,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,7,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,10,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2005,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2013,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2013,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2013,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2013,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2014,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2014,9,4
05,ANTIOQUIA,05002,ABEJORRAL,2014,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2014,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,1,4
05,ANTIOQUIA,05002,ABEJORRAL,2015,2,3
05,ANTIOQUIA,05002,ABEJORRAL,2015,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2015,4,4
05,ANTIOQUIA,05002,ABEJORRAL,2015,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,3,3
05,ANTIOQUIA,05002,ABEJORRAL,2016,4,3
05,ANTIOQUIA,05002,ABEJORRAL,2016,5,3
05,ANTIOQUIA,05002,ABEJORRAL,2016,6,4
05,ANTIOQUIA,05002,ABEJORRAL,2016,7,3
05,ANTIOQUIA,05002,ABEJORRAL,2016,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2016,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,12,3
05,ANTIOQUIA,05002,ABEJORRAL,2017,1,5
05,ANTIOQUIA,05002,ABEJORRAL,2017,2,2
05,ANTIOQUIA,05002,ABEJORRAL,2017,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2017,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2017,5,2
05,ANTIOQUIA,05002,ABEJORRAL,2017,6,3
05,ANTIOQUIA,05002,ABEJORRAL,2017,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2017,10,3
05,ANTIOQUIA,05002,ABEJORRAL,2018,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2018,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2018,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,4,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2018,6,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,7,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,10,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,3,4
05,ANTIOQUIA,05002,ABEJORRAL,2019,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,10,3
05,ANTIOQUIA,05002,ABEJORRAL,2019,11,2
05,ANTIOQUIA,05002,ABEJORRAL,2019,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2020,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2020,2,2
05,ANTIOQUIA,05002,ABEJORRAL,2020,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,11,3
05,ANTIOQUIA,05002,ABEJORRAL,2021,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2021,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2021,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2021,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2021,8,1
