cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,cobertura_2g,cobertura_3g,cobertura_4g,cobertura_lte,cobertura_5g
05,ANTIOQUIA,05142,CARACOLÍ,2015,1,1,0,0,0
05,ANTIOQUIA,05142,CARACOLÍ,2016,1,1,0,0,0
05,ANTIOQUIA,05142,CARACOLÍ,2017,1,1,0,1,0
05,ANTIOQUIA,05142,CARACOLÍ,2018,1,1,0,1,0
05,ANTIOQUIA,05142,CARACOLÍ,2019,1,1,0,1,0
05,ANTIOQUIA,05142,CARACOLÍ,2020,1,1,0,1,0
05,ANTIOQUIA,05142,CARACOLÍ,2021,1,1,1,1,0
05,ANTIOQUIA,05142,CARACOLÍ,2022,1,1,1,0,0
05,ANTIOQUIA,05142,CARACOLÍ,2023,1,1,1,0,0
05,ANTIOQUIA,05145,CARAMANTA,2015,1,1,0,0,0
05,ANTIOQUIA,05145,CARAMANTA,2016,1,1,0,1,0
05,ANTIOQUIA,05145,CARAMANTA,2017,1,1,0,1,0
05,ANTIOQUIA,05145,CARAMANTA,2018,1,1,0,1,0
05,ANTIOQUIA,05145,CARAMANTA,2019,1,1,0,1,0
05,ANTIOQUIA,05145,CARAMANTA,2020,1,1,0,1,0
05,ANTIOQUIA,05145,CARAMANTA,2021,1,1,1,1,0
05,ANTIOQUIA,05145,CARAMANTA,2022,1,1,1,0,0
05,ANTIOQUIA,05145,CARAMANTA,2023,1,1,1,0,0
05,ANTIOQUIA,05147,CAREPA,2015,1,1,0,1,0
05,ANTIOQUIA,05147,CAREPA,2016,1,1,0,1,0
05,ANTIOQUIA,05147,CAREPA,2017,1,1,0,1,0
05,ANTIOQUIA,05147,CAREPA,2018,1,1,0,1,0
05,ANTIOQUIA,05147,CAREPA,2019,1,1,0,1,0
05,ANTIOQUIA,05147,CAREPA,2020,1,1,0,1,0
05,ANTIOQUIA,05147,CAREPA,2021,1,1,1,1,0
05,ANTIOQUIA,05147,CAREPA,2022,1,1,1,0,0
05,ANTIOQUIA,05147,CAREPA,2023,1,1,1,0,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2015,1,1,0,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2016,1,1,0,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2017,1,1,0,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2018,1,1,0,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2019,1,1,0,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2020,1,1,0,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2021,1,1,1,1,0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2022,1,1,1,0,0
