cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_homicidio
05,ANTIOQUIA,05002,ABEJORRAL,2008,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2008,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2008,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2008,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2009,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2009,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2010,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2010,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2010,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2011,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2011,4,2
05,ANTIOQUIA,05002,ABEJORRAL,2012,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2012,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2012,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2012,10,4
05,ANTIOQUIA,05002,ABEJORRAL,2013,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2013,9,3
05,ANTIOQUIA,05002,ABEJORRAL,2013,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2013,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2014,5,2
05,ANTIOQUIA,05002,ABEJORRAL,2014,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2014,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2015,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2016,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2016,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2016,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2017,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2017,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2018,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2018,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2018,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2018,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2019,2,2
05,ANTIOQUIA,05002,ABEJORRAL,2019,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2020,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2021,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2021,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,2,2
05,ANTIOQUIA,05002,ABEJORRAL,2023,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,4,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,7,2
05,ANTIOQUIA,05002,ABEJORRAL,2023,10,3
05,ANTIOQUIA,05002,ABEJORRAL,2023,12,3
