COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
25,CUNDINAMARCA,25473,MOSQUERA,2023,19.0,1.0,0.0,0.0,25,25473,151244,1.0,1.0,1.0
25,CUNDINAMARCA,25473,MOSQUERA,2024,12.0,1.0,0.0,0.0,25,25473,155479,0.0,0.0,0.0
25,CUNDINAMARCA,25483,NARIÑO,2022,1.0,1.0,0.0,0.0,25,25483,2644,1.0,1.0,1.0
25,CUNDINAMARCA,25486,NEMOCON,2018,1.0,1.0,0.0,0.0,25,25486,13171,1.0,1.0,0.0
25,CUNDINAMARCA,25486,NEMOCON,2021,1.0,1.0,0.0,0.0,25,25486,14611,1.0,1.0,1.0
25,CUNDINAMARCA,25486,NEMOCON,2022,2.0,1.0,0.0,0.0,25,25486,15082,1.0,1.0,1.0
25,CUNDINAMARCA,25486,NEMOCON,2023,1.0,1.0,0.0,0.0,25,25486,15588,1.0,1.0,1.0
25,CUNDINAMARCA,25486,NEMOCON,2024,1.0,1.0,0.0,0.0,25,25486,16093,0.0,0.0,0.0
25,CUNDINAMARCA,25488,NILO,2018,2.0,1.0,0.0,0.0,25,25488,10819,1.0,1.0,0.0
25,CUNDINAMARCA,25488,NILO,2019,1.0,1.0,0.0,0.0,25,25488,11286,1.0,1.0,0.0
25,CUNDINAMARCA,25488,NILO,2020,2.0,1.0,0.0,0.0,25,25488,11663,1.0,1.0,0.0
25,CUNDINAMARCA,25488,NILO,2021,4.0,1.0,0.0,0.0,25,25488,11964,1.0,1.0,1.0
25,CUNDINAMARCA,25488,NILO,2022,1.0,1.0,0.0,0.0,25,25488,12336,1.0,1.0,1.0
25,CUNDINAMARCA,25488,NILO,2024,2.0,1.0,0.0,0.0,25,25488,13148,0.0,0.0,0.0
25,CUNDINAMARCA,25489,NIMAIMA,2018,1.0,1.0,0.0,0.0,25,25489,3589,1.0,1.0,0.0
25,CUNDINAMARCA,25489,NIMAIMA,2023,2.0,1.0,0.0,0.0,25,25489,4138,1.0,1.0,1.0
25,CUNDINAMARCA,25491,NOCAIMA,2021,2.0,1.0,0.0,0.0,25,25491,6635,1.0,1.0,1.0
25,CUNDINAMARCA,25491,NOCAIMA,2022,3.0,1.0,0.0,0.0,25,25491,6838,1.0,1.0,1.0
25,CUNDINAMARCA,25491,NOCAIMA,2023,1.0,1.0,0.0,0.0,25,25491,7074,1.0,1.0,1.0
25,CUNDINAMARCA,25491,NOCAIMA,2024,1.0,1.0,0.0,0.0,25,25491,7299,0.0,0.0,0.0
25,CUNDINAMARCA,25506,VENECIA,2019,1.0,1.0,0.0,0.0,25,25506,4379,1.0,1.0,0.0
25,CUNDINAMARCA,25506,VENECIA,2021,1.0,1.0,0.0,0.0,25,25506,4576,1.0,1.0,1.0
25,CUNDINAMARCA,25506,VENECIA,2024,1.0,1.0,0.0,0.0,25,25506,5033,0.0,0.0,0.0
25,CUNDINAMARCA,25513,PACHO,2018,4.0,1.0,0.0,0.0,25,25513,24413,1.0,1.0,0.0
