COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,CANTIDAD_SUBVERSIVAS,COD_DPTO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
47,MAGDALENA,47570,PUEBLOVIEJO,2024.0,2.0,0.0,47.0,34212.0,0.0,0.0,0.0
47,MAGDALENA,47605,REMOLINO,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47605,REMOLINO,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47605,REMOLINO,2018.0,1.0,0.0,47.0,11445.0,1.0,1.0,0.0
47,MAGDALENA,47605,REMOLINO,2019.0,1.0,0.0,47.0,11800.0,1.0,1.0,0.0
47,MAGDALENA,47605,REMOLINO,2020.0,2.0,0.0,47.0,12145.0,1.0,1.0,0.0
47,MAGDALENA,47605,REMOLINO,2021.0,1.0,0.0,47.0,12399.0,1.0,1.0,1.0
47,MAGDALENA,47605,REMOLINO,2022.0,3.0,0.0,47.0,12597.0,1.0,1.0,1.0
47,MAGDALENA,47605,REMOLINO,2023.0,4.0,0.0,47.0,12766.0,1.0,1.0,1.0
47,MAGDALENA,47605,REMOLINO,2024.0,1.0,0.0,47.0,12939.0,0.0,0.0,0.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2014.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2018.0,3.0,0.0,47.0,15644.0,1.0,1.0,0.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2019.0,2.0,0.0,47.0,16160.0,1.0,1.0,0.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2020.0,2.0,0.0,47.0,16660.0,1.0,1.0,0.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2022.0,1.0,0.0,47.0,17256.0,1.0,1.0,1.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2023.0,3.0,0.0,47.0,17458.0,1.0,1.0,1.0
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,2024.0,1.0,0.0,47.0,17662.0,0.0,0.0,0.0
47,MAGDALENA,47675,SALAMINA,1998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47675,SALAMINA,2018.0,1.0,0.0,47.0,10733.0,1.0,1.0,0.0
47,MAGDALENA,47675,SALAMINA,2021.0,1.0,0.0,47.0,11657.0,1.0,1.0,1.0
47,MAGDALENA,47675,SALAMINA,2022.0,1.0,0.0,47.0,11835.0,1.0,1.0,1.0
47,MAGDALENA,47675,SALAMINA,2023.0,1.0,0.0,47.0,11986.0,1.0,1.0,1.0
47,MAGDALENA,47675,SALAMINA,2024.0,1.0,0.0,47.0,12138.0,0.0,0.0,0.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,1996.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2018.0,0.0,1.0,47.0,19523.0,1.0,1.0,0.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2023.0,3.0,0.0,47.0,22080.0,1.0,1.0,1.0
47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2024.0,1.0,0.0,47.0,22375.0,0.0,0.0,0.0
47,MAGDALENA,47703,SAN ZENON,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47703,SAN ZENON,2019.0,1.0,0.0,47.0,12120.0,1.0,1.0,0.0
47,MAGDALENA,47703,SAN ZENON,2022.0,1.0,0.0,47.0,13125.0,1.0,1.0,1.0
47,MAGDALENA,47703,SAN ZENON,2023.0,1.0,0.0,47.0,13286.0,1.0,1.0,1.0
47,MAGDALENA,47703,SAN ZENON,2024.0,1.0,0.0,47.0,13465.0,0.0,0.0,0.0
47,MAGDALENA,47707,SANTA ANA,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47707,SANTA ANA,2018.0,1.0,0.0,47.0,25438.0,1.0,1.0,0.0
47,MAGDALENA,47707,SANTA ANA,2020.0,2.0,0.0,47.0,26585.0,1.0,1.0,0.0
47,MAGDALENA,47707,SANTA ANA,2022.0,1.0,0.0,47.0,27319.0,1.0,1.0,1.0
47,MAGDALENA,47707,SANTA ANA,2024.0,6.0,0.0,47.0,27959.0,0.0,0.0,0.0
47,MAGDALENA,47720,SANTA BARBARA DE PINTO,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47720,SANTA BARBARA DE PINTO,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47720,SANTA BARBARA DE PINTO,2024.0,1.0,0.0,47.0,11739.0,0.0,0.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2006.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2011.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2018.0,0.0,1.0,47.0,27128.0,1.0,1.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2019.0,3.0,0.0,47.0,28046.0,1.0,1.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2020.0,3.0,0.0,47.0,28959.0,1.0,1.0,0.0
47,MAGDALENA,47745,SITIONUEVO,2021.0,1.0,0.0,47.0,29607.0,1.0,1.0,1.0
47,MAGDALENA,47745,SITIONUEVO,2022.0,4.0,0.0,47.0,30077.0,1.0,1.0,1.0
47,MAGDALENA,47745,SITIONUEVO,2023.0,1.0,0.0,47.0,30470.0,1.0,1.0,1.0
47,MAGDALENA,47745,SITIONUEVO,2024.0,4.0,0.0,47.0,30855.0,0.0,0.0,0.0
47,MAGDALENA,47798,TENERIFE,2006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47798,TENERIFE,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47798,TENERIFE,2023.0,1.0,0.0,47.0,14736.0,1.0,1.0,1.0
47,MAGDALENA,47798,TENERIFE,2024.0,1.0,0.0,47.0,14922.0,0.0,0.0,0.0
47,MAGDALENA,47960,ZAPAYAN,2018.0,1.0,0.0,47.0,9895.0,1.0,1.0,0.0
47,MAGDALENA,47960,ZAPAYAN,2019.0,1.0,0.0,47.0,10179.0,1.0,1.0,0.0
