ano,actividad,sector,tipo_de_precios,cod_dpto,dpto_nombre,valor_agregado
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,18,Caquetá,89.31
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,85,Casanare,247.2
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,19,Cauca,1593.18
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,20,Cesar,396.21
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,27,Chocó,22.84
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,23,Córdoba,1356.76
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,25,Cundinamarca,6868.09
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,94,Guainía,7.24
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,95,Guaviare,8.97
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,41,Huila,402.71
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,44,La Guajira,36.08
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,47,Magdalena,346.85
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,50,Meta,591.41
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,52,Nariño,296.9
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,54,Norte de Santander,624.67
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,86,Putumayo,36.25
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,63,Quindío,268.39
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,66,Risaralda,1286.41
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",11.78
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,68,Santander,8112.34
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,70,Sucre,475.13
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,73,Tolima,1413.42
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,76,Valle del Cauca,9262.77
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,97,Vaupés,0.38
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,99,Vichada,18.18
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,91,Amazonas,17.59
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,05,Antioquia,4025.22
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,81,Arauca,24.83
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,08,Atlántico,1715.16
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,11,Bogotá D.C.,3233.94
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,13,Bolívar,626.2
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,15,Boyacá,1025.31
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,17,Caldas,566.97
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,18,Caquetá,14.78
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,85,Casanare,90.37
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,19,Cauca,292.45
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,20,Cesar,202.12
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,27,Chocó,24.74
