cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_victimas,total_civiles,total_combatientes,lesionados_civiles,abandono_despojo,amenaza_intimidacion,ataque_mision_medica,confinamiento,desplazamiento_forzado,extorsion_asociada,pillaje,tortura
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2006,4,3,3,0,22,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,2006,8,7,1,6,9,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2006,8,1,1,0,13,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2006,10,0,0,0,20,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2007,1,6,4,2,14,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2007,2,1,1,0,8,0,0,0,0,0,0,0,0
41,HUILA,41001,NEIVA,2007,3,0,0,0,10,0,0,0,0,0,0,0,0
86,PUTUMAYO,86568,PUERTO ASIS,2007,10,2,2,0,7,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2008,6,1,1,0,1,0,1,0,0,0,1,0,0
05,ANTIOQUIA,05361,ITUANGO,2008,8,7,7,0,51,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05667,SAN RAFAEL,2008,8,1,1,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05667,SAN RAFAEL,2008,12,0,0,0,11,0,0,0,0,0,0,0,0
52,NARIÑO,52621,ROBERTO PAYAN,2009,1,5,5,0,8,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2009,1,2,2,0,12,0,0,0,0,0,1,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,2009,2,2,2,0,12,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54206,CONVENCION,2009,2,9,6,3,15,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05045,APARTADO,2009,3,0,0,0,15,0,0,0,0,0,0,0,0
52,NARIÑO,52678,SAMANIEGO,2009,5,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2010,3,9,7,2,50,0,0,0,0,0,0,0,0
19,CAUCA,19318,GUAPI,2010,5,1,1,0,8,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05045,APARTADO,2010,6,1,1,0,12,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2010,8,0,0,0,47,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54670,SAN CALIXTO,2011,3,3,3,0,1,0,0,0,0,1,0,0,0
52,NARIÑO,52696,SANTA BARBARA,2011,6,1,1,0,10,0,0,0,0,0,0,0,0
19,CAUCA,19001,POPAYAN,2011,6,1,1,0,5,0,0,0,0,0,0,0,0
19,CAUCA,19821,TORIBIO,2011,7,4,3,1,99,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76275,FLORIDA,2011,10,0,0,0,0,0,0,0,0,0,0,0,0
44,LA GUAJIRA,44430,MAICAO,2011,12,3,3,0,11,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54810,TIBU,2012,1,3,3,0,2,0,0,0,0,0,0,0,0
52,NARIÑO,52835,SAN ANDRES DE TUMACO,2012,1,0,0,0,2,0,0,0,0,0,0,0,0
52,NARIÑO,52835,SAN ANDRES DE TUMACO,2012,2,9,8,1,64,0,0,0,0,0,0,0,0
19,CAUCA,19845,VILLA RICA,2012,2,6,5,1,28,0,0,0,0,0,0,0,0
19,CAUCA,19212,CORINTO,2012,2,0,0,0,5,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54250,EL TARRA,2012,2,0,0,0,6,0,0,0,0,0,0,0,0
19,CAUCA,19364,JAMBALO,2012,3,0,0,0,2,0,0,0,0,0,0,0,0
73,TOLIMA,73001,IBAGUE,2012,4,0,0,0,9,0,0,0,0,0,0,0,0
52,NARIÑO,52678,SAMANIEGO,2012,4,1,1,0,15,0,0,0,0,0,0,0,0
52,NARIÑO,52250,EL CHARCO,2012,6,0,0,0,14,0,0,0,0,0,0,0,0
50,META,50711,VISTAHERMOSA,2012,8,6,6,0,4,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76563,PRADERA,2012,10,2,2,0,35,0,0,0,0,0,0,0,0
19,CAUCA,19075,BALBOA,2012,11,0,0,0,0,0,0,0,0,0,0,0,0
19,CAUCA,19807,TIMBIO,2013,3,0,0,0,12,0,0,0,0,0,0,0,0
19,CAUCA,19050,ARGELIA,2013,3,0,0,0,11,0,0,0,0,0,0,0,0
52,NARIÑO,52835,SAN ANDRES DE TUMACO,2013,11,0,0,0,4,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,2014,6,0,0,0,0,0,0,0,0,0,0,0,0
19,CAUCA,19455,MIRANDA,2014,7,1,1,0,4,0,0,0,0,0,0,0,0
52,NARIÑO,52250,EL CHARCO,2015,5,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2015,6,0,0,0,14,0,0,0,0,0,0,0,0
52,NARIÑO,52079,BARBACOAS,2015,6,0,0,0,7,0,0,0,0,0,0,0,0
86,PUTUMAYO,86568,PUERTO ASIS,2015,6,0,0,0,1,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05040,ANORI,2015,7,0,0,0,0,0,0,0,0,0,0,0,0
86,PUTUMAYO,86001,MOCOA,2015,7,0,0,0,2,0,0,0,0,0,0,0,0
19,CAUCA,19809,TIMBIQUI,2015,7,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76275,FLORIDA,2015,7,0,0,0,0,0,0,0,0,0,0,0,0
52,NARIÑO,52835,SAN ANDRES DE TUMACO,2015,7,0,0,0,0,0,0,0,0,0,0,0,0
81,ARAUCA,81300,FORTUL,2015,9,0,0,0,4,0,0,0,0,0,0,0,0
